,[M],mz_[M+H]+,mzmin,mzmax,rt,rtmin,rtmax,npeaks,cdfs,IL27_1,IL27_2,IL27_4,IL27_5,IL27_6,IL28_1,IL28_2,IL28_3,IL28_4,IL28_5,IL28_6,MB_1,MB_2,MB_3,MB_4,MB_5,MB_6,LA1840_1,LA1840_2,LA1840_3,LA1840_4,LA1840_5,LA1840_6
metabolite_99,325.233553,326.2408287,326.2387044,326.2423659,1700.220049,1696.408358,1701.617693,20,99,0.000203163,0.000304167,0.000771363,0.000287498,0.000294945,6.86E-05,5.98E-05,0.000193942,0.000137129,0.000186526,0.000403353,5.56E-05,0.000209319,0.000175785,6.53E-05,0.000154577,0.000102908,1.16E-05,0.000204053,0.000493928,0.000393952,0.000137783,0.000676955
metabolite_100,327.27759,328.2848655,328.282029,328.3219111,2008.882149,1965.831025,2068.956067,31,100,7.28E-05,7.91E-05,0.000107029,0.000103217,1.54E-05,7.94E-05,0.000114738,0.000139009,0.00010912,2.87E-05,0.000110916,6.33E-05,6.21E-05,0.000117899,0.000129617,0.000120576,0.000121496,1.26E-06,2.24E-05,0.000118802,0.000135362,9.71E-05,0.00011876
metabolite_101,328.308875,329.3161511,329.3127614,329.318893,2115.507185,2105.142975,2116.302909,27,101,6.81E-05,8.37E-05,0.000110421,0.00011628,0.000182653,9.17E-05,8.44E-05,0.000159656,0.000142569,0.000238397,0.000119705,7.66E-05,8.26E-05,0.000146978,0.000105012,0.0001418,0.000159887,1.12E-06,0.000103139,0.000104918,8.92E-05,9.99E-05,0.00012242
metabolite_102,329.256691,330.2639668,330.2623638,330.2661791,1920.196648,1892.475779,1920.872868,39,102,0.000512098,0.000963127,0.000409119,0.00038669,3.30E-05,0.000448708,0.000598372,0.000614236,0.000487521,0.000588367,0.000413271,0.000466778,0.000532246,0.000889831,0.000514771,0.000443848,0.000443319,7.60E-07,0.00053964,0.000917947,0.000530716,0.000369808,0.000368857
metabolite_103,331.126333,332.1336093,332.1319355,332.135606,61.14321315,56.09374216,61.88851537,16,103,6.37E-05,0.000136565,6.98E-05,5.79E-05,1.89E-05,1.43E-05,1.91E-05,2.86E-05,1.71E-05,1.98E-05,1.59E-05,0.000195043,7.88E-05,6.46E-05,0.000265978,0.000117407,5.28E-05,4.98E-07,0.000149948,5.66E-05,4.95E-05,0.000104413,5.46E-05
metabolite_104,332.234293,333.2415691,333.2392966,333.2453464,2159.938645,2126.015497,2160.676823,20,104,2.59E-05,4.14E-05,6.25E-05,6.57E-05,5.94E-05,6.88E-05,7.22E-05,8.49E-05,5.42E-05,9.62E-05,6.63E-05,7.95E-05,7.35E-05,4.96E-05,8.66E-05,7.18E-05,7.52E-05,0.000226975,3.22E-05,4.97E-05,5.25E-05,6.31E-05,5.85E-05
metabolite_105,332.292237,333.2995127,333.2971261,333.301455,2037.581992,2037.364063,2037.985513,12,105,3.82E-05,3.49E-05,4.15E-05,3.01E-05,5.17E-05,3.65E-05,5.43E-05,5.75E-05,4.75E-05,5.93E-05,4.40E-05,3.12E-05,3.72E-05,4.97E-05,3.43E-05,5.07E-05,3.51E-05,3.74E-06,3.91E-05,3.95E-05,4.08E-05,3.55E-05,2.36E-05
metabolite_106,334.066093,335.0733688,335.0724199,335.0747442,31.80710484,31.57754437,50.3595085,12,106,4.82E-05,6.82E-05,0.000141399,7.94E-05,5.51E-05,6.47E-05,0.000204118,9.00E-05,5.53E-05,9.43E-05,8.29E-05,5.59E-05,9.06E-05,6.31E-05,5.44E-05,7.85E-05,7.01E-05,9.90E-07,9.03E-05,8.30E-05,4.40E-05,5.30E-05,5.02E-05
metabolite_107,334.250145,335.2574212,335.2549492,335.2596598,2159.946506,2125.012248,2205.077706,69,107,0.006102951,0.007000112,0.008936423,0.008060893,0.008457454,0.01148506,0.010027897,0.009986933,0.008940765,0.005144666,0.009231061,0.012509124,0.011113679,0.008242236,0.009251594,0.008087788,0.009083592,0.004922754,0.00602643,0.006060791,0.005417997,0.005078739,0.007309927
metabolite_108,334.250752,335.2580281,335.2556034,335.2792232,1894.955299,1894.50307,1901.723337,27,108,0.000124322,0.00016793,0.000385531,0.000343239,0.000339772,5.29E-05,4.17E-05,6.62E-05,0.000109606,0.00025095,0.000310462,4.66E-05,9.84E-05,0.000118331,3.18E-05,0.000137007,0.000190625,0.00011803,9.04E-05,8.42E-05,0.000159707,0.000143521,0.000264509
