sample_id,genotype,replicate,tec_replicate,alpha_pinene,alpha_phellandrene,alpha_terpinene,d_limonene,b_phellandrene,trans_b_ocimene,linalool,terpinolene,geraniol,beta_caryophyllene,alpha_humulene,cuparene,neridol
20240119_AGQT_LAD_LA1330_3_2,LA1330,3,2,0.139770366,0.138637171,0,0.040479667,0.058218919,0.004126016,0.019972341,0.001009878,0,0.019581195,0.056178065,0,0.131884537
20240119_AGQT_LAD_LA1330_4_1,LA1330,4,1,0.186079522,0.151673367,0,0.047975456,0.042991822,0.007951022,0.036341822,0.007219767,0.012915978,0.081817789,0,0,0.511300711
20240119_AGQT_LAD_LA1330_4_2,LA1330,4,2,0.188388044,0.108440824,0,0.064626418,0.052578407,0.033831363,0.023841912,0.002680176,0,0.049444626,0.035803396,0,0.457039165
20240119_AGQT_LAD_LA1330_5_1,LA1330,5,1,0.080846767,0.0342872,0.6908118,0.109137433,0.1183465,0.0495357,0.0308673,0.00995675,0,0.01446285,0,0.05828735,0.005894517
20240119_AGQT_LAD_LA1330_5_2,LA1330,5,2,0.26446718,1.563834803,0,0,1.268083328,0.243285721,0.024544279,0.016713852,0,0.057310016,0.235350295,0.044911131,0.778466902
20240119_AGQT_LAD_LA1840_1_1,LA1840,1,1,0.001125897,0.000691746,0.544478679,0.012235692,0.028565629,0.052556397,0.003880786,0,0.095042326,0.00167375,0.100033589,0,0.64680721
20240119_AGQT_LAD_LA1840_1_2,LA1840,1,2,0.070955052,0.191484126,0,0.159992935,0.182919831,0.079909887,0.017741805,0.002433312,0,0.033683675,0.176079411,0,0.129555554
20240119_AGQT_LAD_LA1840_2_1,LA1840,2,1,0.041147536,0.083499452,0,0.065113315,0.078163984,0.051195734,0,0,0,0.016769468,0.05361898,0.011710867,0.125142625
20240119_AGQT_LAD_LA1840_2_2,LA1840,2,2,0.054120363,0.065412712,0,0.071429133,0.071605226,0.052732345,0.015703199,0.000968695,0,0.017143022,0.037508584,0.001513066,0.08505408
20240119_AGQT_LAD_LA1840_3_1,LA1840,3,1,0.066599441,0.049443652,0,0.017159075,0.023194938,0.033600385,0.003250286,3.68E-04,0.012918298,0.004788745,0.144720857,0.025248907,0.231154137
20240119_AGQT_LAD_LA1840_3_2,LA1840,3,2,0.142933719,0.419210281,0.139633555,0.354107959,0.395115863,0.719973411,0.036281418,0.004802616,0.080027253,0.088633651,0,0.059415568,0.170903199
20240119_AGQT_LAD_LA1840_4_1,LA1840,4,1,0.191929425,0.370293934,0,0.248282698,0.271360934,0.216315245,0.06787784,0.030793943,0.077121642,0.071805425,0.114933009,0.037128858,0.508755783
20240119_AGQT_LAD_LA1840_4_2,LA1840,4,2,0.11506727,0.13321752,0,0.08847459,0.10147947,0.10712345,0.0551421,0.00225022,0,0.05211183,0.07909577,0.01430913,0.53106292
20240119_AGQT_LAD_LA1840_5_1,LA1840,5,1,0.070367221,0.126207522,0.188998221,0.02767285,0.036731531,0.022800027,0.013522124,0.005792504,0.093738027,0.009175283,0.337541726,0.08086431,0.251185372
20240119_AGQT_LAD_LA1840_5_2,LA1840,5,2,0.172890339,0.305352124,0.308161529,0.232651355,0.264258198,0.629140719,0.005679347,0.010557446,0.06227243,0.006016339,0.464409099,0.116115711,0.297080934
20240119_AGQT_LADLA2663__1_1,LA2663,1,1,2.00E-04,0.004474766,0.19870566,0.011048021,0.012758787,0.02070234,0,0,0.060449213,0,0.080650755,0,0.597976011
